"Year","Sex","Major group of occupation","Average gross monthly earnings","1st decile of monthly earnings","2nd decile of monthly earnings","3rd decile of monthly earnings","4th decile of monthly earnings","Median of monthly earnings, 5th decile","6th decile of monthly earnings","7th decile of monthly earnings","8th decile of monthly earnings","9th decile of monthly earnings"
"2018","Males","Clerical support workers",1252,550,807,979,1098,1188,1300,1465,1600,1915
"2018","Males","Service and sales workers",996,550,640,734,823,905,1006,1147,1307,1550
"2018","Males","Skilled agricultural, forestry and fishery workers",1091,500,540,706,853,1000,1119,1230,1450,1868
"2018","Males","Craft and related trades workers",1258,550,740,908,1060,1198,1307,1472,1684,2000
"2018","Males","Plant and machine operators, and assemblers",1202,584,722,897,1019,1143,1250,1388,1560,1897
"2018","Males","Elementary occupations",1000,500,580,700,796,920,1026,1178,1350,1594
"2018","Males","Armed forces occupations",..,..,..,..,..,..,..,..,..,..
"2018","Females","Occupations total",1165,549,670,791,910,1036,1171,1310,1502,1862
"2018","Females","Managers",1739,625,907,1100,1277,1500,1722,2000,2395,3050
"2018","Females","Professionals",1528,935,1050,1170,1290,1386,1500,1659,1900,2300
"2018","Females","Technicians and associate professionals",1237,625,821,975,1100,1200,1280,1400,1550,1801
"2018","Females","Clerical support workers",1071,548,680,800,905,1012,1142,1245,1392,1600
"2018","Females","Service and sales workers",819,509,590,639,696,750,815,893,1007,1200
"2018","Females","Skilled agricultural, forestry and fishery workers",949,500,625,792,900,959,1007,1080,1150,1336
"2018","Females","Craft and related trades workers",922,529,655,748,812,877,954,1049,1151,1317
"2018","Females","Plant and machine operators, and assemblers",954,617,709,773,834,906,982,1057,1158,1330
"2018","Females","Elementary occupations",732,500,500,550,600,650,730,800,911,1083
"2018","Females","Armed forces occupations",..,..,..,..,..,..,..,..,..,..
